Gol,Başarılı Top Sürme,Başarılı Top Sürme %,Toplam Şut,İsabetli Şut,Yaratılan Büyük Şans,İsabetli Pas,İsabetli Pas %,Kilit Pas,İsabetli Orta,İsabetli Uzun Top,Top Çalma,Pas Arası,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
0.2,0.61,50.0,1.31,0.45,0.05,30.76,81.09,1.06,0.3,1.11,1.06,0.86,3.28,1.01,47.49,1.62,Marcus Rohdén,marcus-rohden,,Fatih Karagümrük
0.19,0.98,43.75,1.55,0.52,0.19,21.1,73.65,0.89,0.75,1.31,1.17,0.84,3.85,0.52,44.93,1.74,Yusuf Erdoğan,yusuf-erdogan,,Adana Demirspor
0.18,1.79,54.05,1.44,0.45,0.27,24.68,82.58,1.7,1.44,1.62,1.7,0.81,4.94,0.9,44.83,1.44,Ryan Mendes,ryan-mendes,,Fatih Karagümrük
0.18,1.55,55.32,2.33,0.9,0.18,27.99,80.27,1.67,0.96,1.38,1.44,0.42,4.72,0.18,49.1,1.73,Enis Bardhi,enis-bardhi,,Trabzonspor
0.18,2.33,55.71,2.33,1.07,0.18,11.52,73.95,0.84,0.12,0.12,1.49,0.72,5.25,0.78,47.42,1.43,Renaldo Cephas,renaldo-cephas,,MKE Ankaragücü
0.17,1.48,54.17,2.5,1.02,0.17,17.42,74.88,1.02,0.85,0.28,0.85,0.57,3.23,0.17,41.1,0.96,Can Keleş,can-keles,,Fatih Karagümrük
0.17,0.0,0.0,1.53,0.51,0.0,16.98,68.97,1.02,0.0,0.17,1.19,1.02,2.89,3.06,38.04,1.87,Armin Hodžić,armin-hodzic,,Hatayspor
0.17,0.56,76.92,1.11,0.28,0.11,35.08,79.07,1.61,0.89,4.67,2.17,0.61,3.95,1.11,54.82,1.22,Pedrinho,pedrinho,,MKE Ankaragücü
0.17,1.93,50.72,1.43,0.44,0.11,25.57,75.32,2.31,1.21,0.88,1.49,1.16,4.19,0.22,43.72,0.77,Sam Larsson,sam-larsson,,Antalyaspor
0.16,2.09,65.38,1.15,0.45,0.08,20.61,86.57,1.23,0.16,0.12,0.9,0.12,3.56,0.74,45.65,0.57,Oluwafisayo Dele-Bashiru,dele-bashiru-oluwafisayo,,Hatayspor
0.16,0.96,46.15,2.56,1.2,0.16,19.88,73.24,0.88,0.32,0.88,2.32,0.72,4.15,1.84,47.17,0.88,Sander van de Streek,sander-van-de-streek,,Antalyaspor
0.15,1.16,53.57,1.16,0.7,0.15,23.89,78.43,1.08,0.54,1.08,1.01,0.46,2.63,0.15,40.45,0.46,Lazar Marković,lazar-markovic,,Gaziantep FK
0.15,0.85,51.52,1.34,0.35,0.2,37.23,80.09,1.19,0.3,4.23,2.29,0.75,3.78,1.99,46.22,0.7,Ali Karimi,ali-karimi,,Kayserispor
0.15,2.0,47.37,1.85,0.3,0.3,19.24,81.5,1.11,0.3,0.67,0.81,0.44,4.66,1.26,41.45,1.85,Babajide David Akintola,babajide-david-akintola,,Çaykur Rizespor
0.14,0.98,48.28,1.46,0.42,0.07,26.49,83.89,0.49,0.21,1.95,1.88,1.6,5.23,1.19,55.76,2.44,Ogün Özçiçek,ogun-ozcicek,,Gaziantep FK
0.14,0.97,87.5,1.59,0.35,0.28,42.89,86.11,1.73,1.38,3.04,1.45,0.42,2.7,0.21,46.67,0.28,Nicolas Janvier,nicolas-janvier,,Alanyaspor
0.14,1.2,57.78,1.06,0.14,0.55,20.28,73.58,1.8,0.78,0.92,2.03,0.74,4.52,0.97,48.97,1.29,Emre Kılınç,emre-kilinc,,Yılport Samsunspor
0.14,1.34,48.33,1.8,0.46,0.14,25.42,80.12,0.74,0.05,1.75,1.8,0.41,5.2,0.92,47.67,2.07,Dario Šarić,dario-saric,,Antalyaspor
0.14,1.01,53.66,1.88,0.51,0.55,27.57,76.24,2.99,2.02,2.16,1.15,1.01,2.8,0.09,40.38,0.64,Edin Višća,edin-visca,,Trabzonspor
0.14,1.5,57.89,1.77,0.68,0.41,27.27,81.3,1.36,0.55,0.82,2.05,0.82,4.77,0.55,41.49,1.23,Roman Kvet,roman-kvet,,Sivasspor
